l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,13.0
6.0,0.0,8.0,3.0,2.0,2.0,5.0,0.0
7.0,0.0,8.0,1.0,4.0,4.0,15.0,0.0
7.0,0.0,8.0,1.0,4.0,4.0,16.0,0.0
1.0,0.0,7.0,5.0,5.0,5.0,17.0,0.0
7.0,0.0,8.0,5.0,5.0,5.0,18.0,1.0
7.0,13.0,8.0,14.0,6.0,6.0,20.0,3.0
8.0,0.0,10.0,3.0,7.0,7.0,21.0,0.0
8.0,3.0,10.0,17.0,7.0,7.0,22.0,1.0
8.0,17.0,10.0,20.0,7.0,7.0,23.0,0.0
7.0,6.0,8.0,14.0,7.0,7.0,25.0,0.0
6.0,4.0,7.0,6.0,7.0,7.0,26.0,1.0
7.0,5.0,8.0,6.0,7.0,7.0,27.0,1.0
4.0,5.0,6.0,6.0,10.0,10.0,29.0,0.0
7.0,4.0,8.0,5.0,11.0,11.0,31.0,0.0
