r,c,ct_0,ct_1,ct_2,ct_3
1.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,1.0,0.0,0.0
1.0,16.0,0.0,1.0,0.0,0.0
1.0,17.0,0.0,1.0,0.0,0.0
1.0,18.0,0.0,1.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
2.0,14.0,1.0,0.0,0.0,0.0
2.0,15.0,1.0,0.0,0.0,0.0
2.0,16.0,1.0,0.0,0.0,0.0
2.0,17.0,1.0,0.0,0.0,0.0
2.0,18.0,1.0,0.0,0.0,0.0
2.0,19.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,0.0
3.0,14.0,1.0,0.0,0.0,0.0
3.0,15.0,1.0,0.0,0.0,0.0
3.0,16.0,1.0,0.0,0.0,0.0
3.0,17.0,1.0,0.0,0.0,0.0
3.0,18.0,1.0,0.0,0.0,0.0
3.0,19.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,1.0,0.0
4.0,14.0,1.0,0.0,0.0,0.0
4.0,15.0,1.0,0.0,0.0,0.0
4.0,16.0,1.0,0.0,0.0,0.0
4.0,17.0,1.0,0.0,0.0,0.0
4.0,18.0,1.0,0.0,0.0,0.0
4.0,19.0,1.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,1.0
5.0,1.0,0.0,0.0,0.0,1.0
5.0,2.0,0.0,0.0,0.0,1.0
5.0,14.0,1.0,0.0,0.0,0.0
5.0,15.0,1.0,0.0,0.0,0.0
5.0,16.0,1.0,0.0,0.0,0.0
5.0,17.0,1.0,0.0,0.0,0.0
5.0,18.0,1.0,0.0,0.0,0.0
5.0,19.0,1.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,1.0
6.0,1.0,0.0,0.0,0.0,1.0
6.0,2.0,0.0,0.0,0.0,1.0
6.0,14.0,1.0,0.0,0.0,0.0
6.0,15.0,1.0,0.0,0.0,0.0
6.0,16.0,1.0,0.0,0.0,0.0
6.0,17.0,1.0,0.0,0.0,0.0
6.0,18.0,1.0,0.0,0.0,0.0
6.0,19.0,1.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,1.0
7.0,1.0,0.0,0.0,0.0,1.0
7.0,2.0,0.0,0.0,0.0,1.0
7.0,14.0,1.0,0.0,0.0,0.0
7.0,15.0,1.0,0.0,0.0,0.0
7.0,16.0,1.0,0.0,0.0,0.0
7.0,17.0,1.0,0.0,0.0,0.0
7.0,18.0,1.0,0.0,0.0,0.0
7.0,19.0,1.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,1.0
8.0,1.0,0.0,0.0,0.0,1.0
8.0,2.0,0.0,0.0,0.0,1.0
