l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,28.0
1.0,8.0,2.0,11.0,1.0,1.0,1.0,20.0
1.0,3.0,2.0,8.0,3.0,3.0,2.0,0.0
2.0,3.0,4.0,6.0,3.0,3.0,3.0,1.0
4.0,4.0,8.0,6.0,3.0,3.0,4.0,0.0
1.0,11.0,2.0,12.0,4.0,4.0,5.0,18.0
1.0,7.0,2.0,8.0,4.0,4.0,6.0,14.0
2.0,13.0,3.0,14.0,5.0,5.0,7.0,11.0
1.0,12.0,2.0,13.0,6.0,6.0,8.0,15.0
1.0,6.0,2.0,7.0,6.0,6.0,9.0,9.0
-0.0,6.0,1.0,13.0,7.0,7.0,10.0,3.0
1.0,4.0,2.0,6.0,7.0,7.0,11.0,5.0
2.0,5.0,4.0,6.0,7.0,7.0,12.0,5.0
1.0,13.0,2.0,15.0,7.0,7.0,13.0,9.0
4.0,4.0,6.0,6.0,8.0,8.0,14.0,0.0
6.0,5.0,7.0,6.0,8.0,8.0,15.0,4.0
1.0,2.0,2.0,4.0,8.0,8.0,16.0,0.0
-0.0,3.0,1.0,6.0,8.0,8.0,17.0,0.0
4.0,5.0,5.0,6.0,10.0,10.0,18.0,3.0
2.0,4.0,3.0,5.0,10.0,10.0,19.0,2.0
3.0,13.0,8.0,14.0,11.0,11.0,20.0,7.0
2.0,14.0,5.0,15.0,11.0,11.0,21.0,6.0
1.0,15.0,3.0,16.0,15.0,15.0,22.0,3.0
8.0,6.0,9.0,14.0,16.0,16.0,23.0,1.0
4.0,13.0,8.0,14.0,16.0,16.0,24.0,1.0
5.0,14.0,8.0,15.0,18.0,18.0,25.0,2.0
3.0,15.0,7.0,16.0,18.0,18.0,26.0,0.0
5.0,14.0,7.0,15.0,20.0,20.0,27.0,0.0
1.0,13.0,2.0,14.0,21.0,21.0,28.0,0.0
7.0,5.0,8.0,6.0,22.0,22.0,29.0,3.0
5.0,5.0,6.0,6.0,22.0,22.0,30.0,2.0
3.0,4.0,4.0,5.0,22.0,22.0,31.0,1.0
2.0,14.0,3.0,15.0,24.0,24.0,32.0,0.0
3.0,15.0,4.0,16.0,25.0,25.0,33.0,1.0
2.0,0.0,4.0,4.0,26.0,26.0,34.0,0.0
4.0,0.0,8.0,5.0,26.0,26.0,35.0,0.0
4.0,0.0,8.0,5.0,26.0,26.0,36.0,0.0
9.0,0.0,10.0,3.0,27.0,27.0,37.0,0.0
9.0,3.0,10.0,17.0,27.0,27.0,38.0,0.0
9.0,17.0,10.0,20.0,27.0,27.0,39.0,0.0
7.0,14.0,8.0,17.0,27.0,27.0,40.0,0.0
8.0,14.0,9.0,18.0,27.0,27.0,41.0,0.0
8.0,6.0,9.0,14.0,27.0,27.0,42.0,0.0
7.0,2.0,8.0,5.0,27.0,27.0,43.0,0.0
8.0,2.0,9.0,6.0,27.0,27.0,44.0,0.0
8.0,2.0,9.0,6.0,27.0,27.0,45.0,0.0
