frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,4216,4634,4354,4317,4190,4095,4836,5161,5457,5336,4434,4145,3867,3878,3972,3975,5779,5883,6838,5648,8325,7986,6550,4759,4201,6370,8037,7603,10042,11153,10590,8314,6367,4854,3959,5834,10397,10302,11298,10581,9722,9185,9254,7887,4832,11335,9862,10753,12203,9886,9132,7675,8160,8143,5217,9440,11220,10081,12234,10901,8550,8884,8584,7996,6938,8005,8064,9982,10544,9809,9167,8925,9324,7721,7812,7670,9277,10927,10503,9598,8844,8646,7616,5750,4832,4689,4918,5748,7478,7642,7090,6142,7708,7533,6747,7180,8406,10512,9390,10266,5880,6178,6188,5087,4675,4803,5165,5330,5361,5296,4776,4330,5367,7213,5487,5812,6842,6614,5991,6894,5017,5031,5782,5174,4081,4164,4400,4549,4628,4422,4460,4344,5723,7467,6262,5596,5258,5187,5171,5552,5794,5608,5468,5228,4512,4363,4301,4626,4734,4518,5165,6111,6350,7021,6422,6141,5773,5213,5802,5497,5417,5493,6420,5503,4895,4439,4394,4899,4829,5172,5728,6523,6881,5952,5337,5150,5615,5263,5374,5262,6006,6584,6766,6024,5114,5349,5705,5513,5419,5538,6064,6499,7056,7339,6162,5643,5735,5857,6136,5925
1,4227,4838,4430,4271,4090,4074,5374,5936,5751,5359,4564,4174,3867,3914,3997,3975,5378,6651,6063,4784,8777,8149,7216,4959,4071,6742,9231,8643,9582,12259,12148,9018,6667,5024,4062,6660,10613,10478,10802,8462,9795,10530,10184,8883,4849,12402,10807,11503,12240,10727,11351,8788,8596,8559,5535,10284,11465,11178,12233,10920,8874,9470,9445,9020,7207,8865,8200,10562,11221,11201,9959,9235,10106,7837,8002,8597,9682,11176,11507,10170,9664,9219,8195,6122,4827,4547,4907,5771,7535,8887,7546,6244,8285,7930,6975,7137,8962,11088,10492,10369,5868,6463,6447,5277,4710,4923,5211,5503,5258,5377,4751,4495,5085,6839,5486,5421,6803,5995,6564,5948,4815,5191,6193,4798,4083,4357,4515,4427,4531,4469,4570,4880,5133,7122,6964,5855,5203,5036,5392,5151,5245,5408,5422,4888,4226,4268,4173,4686,4831,4635,4514,5583,6687,6961,5702,5957,5309,5648,5883,5331,5651,6053,5443,5006,4588,4549,4254,4451,4877,4745,5109,5471,5949,6151,6182,5724,5489,5219,5392,4987,7025,6190,5729,4979,4808,4692,4688,4656,4654,4755,4673,4688,4715,5196,5385,5135,5400,5413,5664,5903
2,4511,4837,4387,4316,4185,4074,5667,6297,5974,5369,4511,4146,3914,3855,3939,3962,5556,5995,5157,4350,8614,8063,7477,5594,4090,6607,9225,10762,9192,12240,12868,9353,7282,4987,4078,5932,9552,10806,8383,8327,10077,10469,10481,9206,4806,12060,10922,11121,11927,11083,12163,10097,8995,8204,5410,10065,11324,11828,11879,10294,10501,9647,9214,8945,7381,8763,8250,10674,11887,11261,11599,9177,10242,8275,8578,9369,9949,10674,12364,9173,10057,8949,8558,6150,4933,4605,5047,5905,7570,8316,8479,6468,8242,8046,6852,7234,9388,10455,11090,9598,5831,6735,6288,5158,4757,4826,5509,5358,5250,5440,5035,4540,4816,6424,5778,5700,6836,6281,6406,5776,4958,6202,6090,4886,4016,4378,4498,4424,4511,4480,4627,4701,4844,7137,6764,6570,5265,5632,5713,4929,5310,5662,5435,4684,4118,4063,4249,4546,4920,4884,4573,4467,6061,6949,6228,6052,5473,5981,5984,5114,5645,5394,5038,4744,4489,4565,4359,4383,4338,4429,4754,5104,4796,4608,5424,5664,5587,5472,5509,5460,5258,5553,5175,4899,4862,4967,5022,4817,4873,4958,4996,4880,4771,4730,4643,4991,5568,6082,6028,5759
3,4634,4752,4434,4562,4307,4188,5755,7602,6885,5692,4477,4040,3856,3849,3940,3982,5545,4654,4690,4036,8273,8330,7455,6239,4115,7190,9445,12210,9967,12209,13644,9645,7055,4832,4098,5875,9387,9115,7734,8483,11114,10387,10874,9249,4749,12174,11384,11775,12165,11748,12245,11681,10031,7937,5297,10352,11778,11586,11372,10603,10662,9830,9623,9593,7640,8984,8359,10907,11977,12094,12049,9887,10517,8252,8283,9348,10471,10923,11908,9560,10144,9511,8623,6591,4921,4653,5380,6148,7951,8945,8606,6381,8358,8052,7039,7622,10025,11312,10650,10008,6278,6592,6587,5195,4688,5046,5445,5257,5297,5163,5163,4526,4574,6377,6141,5949,6820,6473,6291,5815,6151,6096,5930,4657,4036,4524,4671,4376,4401,4533,4688,4802,4956,6595,7264,6527,5537,6184,5466,4999,5755,5985,5339,4447,4140,4143,4250,4495,4611,5101,4943,4473,5038,6154,6712,5810,5501,5881,5504,5125,5393,5510,5208,4569,4330,4332,4382,4399,4278,4371,4410,4607,4918,4373,4838,5723,6206,5899,5675,5423,5383,5247,4990,5003,4840,4827,4898,4971,4736,4669,4695,4822,4818,4769,4987,4923,4980,5278,5099,5067
4,4651,4719,4459,4960,4370,4161,5354,7676,7195,6337,4565,4183,3905,3870,3933,3981,4576,4678,4342,4130,8556,8357,7943,6842,4306,6614,9541,12589,10723,11511,12932,9640,7008,4754,4152,5466,8034,7786,7404,8322,11177,10038,11122,9564,4894,11027,11242,12049,12502,11485,12473,11732,10297,7892,5340,9837,11333,11114,10233,10565,10179,9497,9199,9476,7478,8635,8584,11114,11405,11713,10943,10570,10285,8231,8136,9259,10143,11007,10917,9298,9520,9196,9109,6486,5009,4673,5373,6094,8143,8644,8561,6642,8147,7727,7308,7680,10358,9712,10326,9283,6268,6596,6750,5356,4846,4960,5622,5145,5610,4958,5230,4627,4481,6090,6504,6285,6926,6182,5956,6420,5634,5762,5908,4687,4111,4503,4973,4400,4407,4580,4596,4909,4763,6658,7414,6191,6277,5640,5461,5780,6295,5762,4984,4267,4106,4117,4281,4461,4480,4619,5255,4652,4448,5119,5570,6058,6010,6045,5496,5186,5506,5721,4668,4308,4290,4236,4166,4171,4546,4414,4377,4471,4512,4530,4842,5371,5692,5585,5208,5024,4937,5091,5054,4699,4520,4586,4795,4756,4818,4840,4839,4787,4722,4546,4809,4561,4855,4873,4820,4772
5,4688,4749,4540,5220,4463,4135,5571,8048,7095,6121,4716,4146,3862,3830,3944,4065,4385,4647,4127,4636,8580,8939,8570,7467,4103,6724,10770,12614,12400,10659,13455,10318,7110,4763,4140,5509,6956,7616,7389,8477,10913,10391,11102,9510,4886,10313,11169,11225,12855,12723,12183,12570,10578,7752,5238,9688,12024,10665,10162,10385,10278,9167,9285,10148,7883,9000,8048,10890,12278,13050,10394,11076,10288,7789,8062,9442,10979,10533,11061,9582,9692,9505,9216,6317,4987,4679,5254,6305,7853,8679,8729,7271,7761,7820,7084,7672,10495,9491,10604,9335,6522,6634,6722,5283,4873,4836,5652,5276,5549,4952,5257,4846,4564,5763,6423,7130,7085,5918,6685,5803,5608,5867,5941,4821,4185,4373,5341,4448,4458,4474,4586,5016,4830,5925,7127,7086,6206,5823,6533,5521,5935,5571,5057,4261,4130,4101,4440,4528,4626,4476,4917,5120,4348,4804,5033,6313,6294,5911,5441,5821,5436,4788,4448,4359,4295,4241,4282,4244,4349,4362,4340,4289,4665,4526,4668,4768,4954,5238,5277,4986,4740,4484,4448,4505,4652,4349,4260,4460,4339,4363,4442,4503,4664,4740,4490,4381,4756,4720,4738,4683
6,4777,4827,4580,5338,4302,4038,6082,8277,7592,6030,4581,4190,3922,3893,4005,4076,4294,4372,4042,4727,8759,9779,8948,8197,4146,6304,11415,12376,13406,11134,13061,10399,7660,4845,4054,5554,6839,7205,7691,8090,10496,11056,11304,9451,4979,10286,11510,10016,12442,13317,11684,12063,10983,7731,5331,9364,10261,9987,10614,10262,9882,9196,9709,9779,8317,8851,8919,9107,11556,12576,10967,10287,11119,8187,8351,9104,10707,9677,10718,9576,10203,8985,9266,6346,5063,4718,5578,6289,7911,8991,8700,7453,7973,7954,7166,8353,10623,9384,10496,9281,6785,7145,6596,5356,5017,4951,5642,5635,5587,5235,5115,5029,4576,5493,6522,7400,7012,6669,6356,5860,5460,6047,5685,4705,4140,4453,5441,4732,4362,4422,4591,4857,4981,5493,6690,7847,5654,6922,5790,5384,5571,5614,4688,4324,4164,4065,4560,4508,4574,4596,4591,4899,4386,4681,4770,6256,6017,5597,5954,5498,4693,4652,4261,4278,4282,4132,4260,4371,4247,4369,4390,4299,4259,4476,4676,4909,4976,5248,5141,4784,4506,4561,4666,4802,4853,4569,4688,4596,4549,4515,4562,4439,4491,4494,4762,4880,4674,4565,4531,4384
7,4927,5062,5120,5878,4458,4232,6384,8365,8420,6320,4838,4267,3902,3835,4001,4058,4259,4235,4318,4762,8969,10573,9977,8292,4111,6115,11069,13356,15217,12870,12610,10654,8619,5126,4157,5616,6848,6898,7770,7894,11243,11383,11365,9366,4979,11046,11636,10610,13253,13500,12428,12210,11232,7937,5360,8964,9570,9802,10344,10515,10163,9516,9764,10107,7450,8223,9272,8985,12413,13263,11066,10218,10642,8277,8257,9543,11031,9995,11298,9483,11419,9261,9513,6343,5155,4769,5501,5844,7846,9326,9006,7630,8097,8078,7488,9154,10450,9735,11188,9661,7080,7126,6529,5169,4964,4976,5528,5942,5554,5468,4862,5135,4522,5219,8132,6969,7144,6230,6293,6017,5446,6310,5261,4603,4110,4401,5334,5021,4348,4388,4516,4585,5247,5016,6578,7043,5603,6236,5861,5308,5648,5627,4750,4254,4182,4120,4565,4952,4566,4489,4790,4689,4489,4438,4689,5471,5833,5462,5447,5426,4813,4265,4262,4359,4124,4143,4190,4137,4294,4392,4403,4346,4220,4275,4553,4455,4667,5046,4656,4425,4573,4642,4684,5034,4528,4411,4414,4389,4349,4319,4263,4641,4586,4570,4674,4676,4791,4793,4757,4643
8,5050,5200,5404,6031,4392,4108,5687,8185,7897,6411,4893,4210,3950,3851,4003,3992,4160,4130,4625,4632,8733,10635,10694,8790,4121,5872,10444,14613,12757,14919,13112,10287,9204,6245,4079,5618,6288,6525,7796,8163,10727,11675,11467,9042,5056,11687,12549,11769,10846,12739,12491,11798,11911,8343,5326,8864,9036,9473,10739,10390,10181,9668,10207,10312,7456,7939,9296,10037,10318,12594,10834,10593,11144,8213,7914,9584,10061,10143,11249,9599,10692,9454,9437,6257,5126,4843,5422,6130,7410,9227,8608,7328,8099,7736,7198,8427,9279,9635,11079,9387,6756,7306,6609,5129,5000,5111,5409,5852,5685,5617,4844,5031,4664,5286,7236,6465,6829,6031,6084,6381,6063,6142,5321,4577,4212,4432,5397,5408,4984,4391,4568,4649,5237,4879,7107,6842,6054,6086,5798,5524,5930,5424,4892,4349,4306,4132,4483,5087,5103,4599,4752,4751,4581,4410,4716,5161,5655,5218,5424,5242,4349,4321,4365,4313,4206,4153,4160,4445,4406,4308,4365,4446,4285,4315,4443,4452,4601,4552,4524,4438,4520,4545,4663,4507,4386,4222,4318,4290,4335,4286,4244,4387,4356,4498,4551,4602,4474,4602,4488,4435
9,5304,5761,6779,6984,4549,4166,6043,7454,7141,6171,4954,4472,4129,4050,4158,4127,4260,4318,4841,5067,10191,10648,11167,7974,4119,6647,10866,15057,14161,12751,15133,10457,10198,6364,4180,5276,6458,6764,7352,8445,11155,11979,12037,9281,5031,10707,11348,11341,12496,11273,12479,12213,12277,9453,5602,8776,8428,9408,10204,10435,9350,10632,10512,8866,7724,8058,9241,10708,9735,10915,11015,10593,11348,8564,7736,9671,9715,10222,11357,9205,10244,10278,9221,6333,5123,4737,5599,6216,7428,8218,8724,7200,8112,7765,7522,9201,9166,9945,10933,9612,6591,8089,6616,4950,5043,5015,5313,5551,5690,6175,4907,5051,4711,5293,7391,6767,6558,5971,5992,6637,6059,5509,5210,4447,4102,4410,5325,4920,5264,4958,4454,4594,4903,4638,6464,6566,5574,5969,5693,5394,5846,5447,4748,4288,4293,4146,4356,4902,5230,5159,4763,4625,4397,4354,4675,5049,5348,5317,5269,5520,4385,4339,4380,4202,4164,4247,4126,4157,4537,4480,4337,4316,4243,4173,4540,4299,4324,4460,4489,4246,4240,4348,4269,4179,4300,4251,4152,4221,4261,4213,4271,4295,4244,4242,4326,4507,4425,4587,4451,4354
