frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,3774,3755,3749,3801,3874,3839,3777,3761,3763,3813,3848,3789,3810,3784,3783,3813,3821,3758,3789,3698,5753,5831,4881,4572,4068,3810,3677,3660,3640,3794,3885,4011,4181,4192,4096,3951,3810,5204,6238,5816,6576,7580,7602,6279,5127,3821,3729,3708,3681,3845,3896,3821,4238,3986,3859,4915,7899,8201,7812,6859,6271,6581,5489,6074,8872,8474,5884,4292,3734,4063,5939,7248,7630,8026,8066,8939,7831,8096,7217,7469,7212,7523,5787,5660,7444,8305,7689,6797,6676,9027,9236,9535,10389,9672,8627,8022,7834,8164,8008,7087,7132,7003,6578,8719,11037,6848,4604,5937,10021,10607,11517,9848,8626,5104,6368,4856,5042,6607,6969,5677,5204,5635,5545,6584,6454,4502,5337,9443,10929,10116,10394,10874,7064,4731,5047,4380,4295,4511,4608,4234,4667,5840,6662,5409,5745,8228,8754,8443,5295,5945,6413,10460,6014,5177,5942,6130,5254,5506,5516,4569,5073,5083,5899,5197,5231,6507,5037,4151,4155,4004,4540,6316,8034,7513,8193,7231,7506,7543,6375,5170,4553,4519,4397,4179,4207,4452,4858,4678,4702,4845,4893,5551,6668,5632,4777,4613,4648,4294,4299,4308
1,3791,3773,3799,3860,3865,3858,3806,3843,3806,3904,3889,3845,3867,3877,3808,3839,3895,3791,3773,3739,3999,3888,3821,3810,3987,3876,3697,3706,3697,3948,3915,4098,4250,4207,4100,3971,3928,3856,3843,3947,6313,7040,6382,5373,3999,3771,3730,3721,3703,3944,3917,3905,4362,4005,3988,3993,5218,6917,7283,6449,7162,6602,6330,9092,9451,7398,5721,4031,3829,4352,6392,7535,8104,8350,8032,8021,8592,8050,7715,7076,7678,6436,5488,8209,8418,9008,8101,6871,7129,9381,9196,10446,10620,10213,8432,8953,8643,8533,7784,7136,7286,6635,9531,11947,6622,5393,6393,6769,10808,10498,11332,11970,7631,5220,5349,4886,4630,5406,6788,5750,5161,5119,6274,6061,4477,6308,6167,8871,10585,10039,10850,10617,7704,4849,4929,4195,4331,4224,4557,4341,4615,5231,6647,5030,6383,8020,7843,8408,5423,5236,5785,8820,7189,6009,6435,6431,5071,5291,5308,4547,5040,5225,5786,5494,5967,7681,5324,4398,4225,4009,4246,5174,7518,8965,8085,7330,7003,7744,5750,5525,4511,4374,4186,4208,4487,5431,5173,5124,4961,4627,4905,5430,6441,6902,4951,4489,4383,4348,4393,4555
2,3828,3771,3842,3939,3869,3871,3834,3840,3851,3869,3895,3944,3959,3896,3848,3839,3899,3891,3819,3769,3923,3868,3880,3908,3953,3813,3728,3735,3699,3914,3933,4064,4202,4242,4075,3951,3849,3824,3851,3847,5293,5757,5654,3889,3863,3755,3823,3727,3775,3918,3925,3899,4246,3974,3961,3974,4017,4839,5578,5055,7560,6484,7217,8584,7754,6424,5273,3787,3866,4682,6501,7607,7836,7915,7636,6701,7386,8218,8125,7291,6754,5760,6453,8470,8497,7992,7377,6467,7351,9301,8785,9613,9193,9879,8077,8003,8133,7426,7539,6703,7152,8399,12275,6714,4493,4586,4363,5718,9546,10271,10663,11588,5428,5809,4892,4617,4312,4805,6153,5212,4893,5071,5296,4164,4100,4176,5070,9141,11161,9552,10462,10571,6819,4405,4587,3996,4263,4061,4265,4249,4536,6106,6206,4693,5211,6760,7939,10122,6034,5223,5592,9095,7920,5325,6830,6720,4734,5275,4707,4267,4676,5693,5964,6078,6619,8494,6802,4659,4299,3962,4135,4773,7490,8233,6921,7165,6390,6623,5329,4986,4350,4252,4127,4061,4680,5381,5095,4923,4901,4678,4843,4874,5485,7052,4627,4136,4213,4290,4370,4279
3,3824,3786,3865,3861,3898,3853,3809,3775,3852,3877,3882,3865,3840,3872,3900,3893,3817,3808,3826,3784,3915,3843,3871,3869,3921,3798,3724,3668,3758,3897,3902,4125,4166,4159,4089,3906,3920,3789,3771,3825,4132,5148,4434,3881,3875,3756,3795,3668,3856,3847,3951,3954,4257,3958,3927,3926,3956,3916,4038,4046,7410,6734,7278,8103,6482,5661,4853,3708,3887,4793,6825,8151,8470,8048,7971,6308,6361,6722,7361,7190,6604,5850,8044,8734,8352,7832,7243,5918,8029,9038,8788,9842,9374,10042,8578,7809,8437,7420,7718,7414,6481,11379,8650,4467,4486,4440,4247,5848,9769,9545,11540,11495,5091,5966,4777,4675,4326,4560,5631,5378,4394,4594,4080,3846,3904,4104,6334,9902,9961,10442,10641,10719,7509,4548,4650,4078,4252,4010,4236,4102,4439,5567,6866,5172,5808,8842,8269,7913,5454,5635,6467,9378,7269,5368,6217,6153,4653,5162,4928,4270,4989,5336,5904,5485,5786,7536,5337,4444,4408,4109,4599,5572,8127,8319,8487,7393,7320,7575,6537,5057,4480,4424,4173,4151,4111,4568,5259,5340,4991,5064,5345,5618,6684,6003,4677,4402,4452,4329,4375,4468
4,3808,3743,3778,3873,3900,3875,3836,3793,3827,3861,3860,3821,3787,3835,3827,3795,3833,3762,3819,3755,3904,3828,3851,3889,3997,3790,3660,3666,3739,3929,3921,4106,4182,4147,4099,3832,3828,3776,3844,3778,3891,4643,3957,3878,3831,3725,3719,3661,3768,3926,3954,4078,4424,3874,3959,3915,3968,3883,3884,3901,6888,7228,6371,7065,5911,5625,4424,3676,4224,5043,6798,7913,8710,8349,8264,6557,5491,6251,6289,6257,6422,6121,9039,9174,8340,7870,7127,5612,8185,8942,8524,10271,9203,10839,8993,7647,7823,7464,7449,7337,7019,12395,5144,4604,4361,4190,4214,5633,10037,9760,11151,10074,4872,6644,4738,4867,4379,4302,5476,5398,4663,4136,3890,3979,4141,5672,6529,10003,9686,10872,10550,10726,7032,4442,4654,4076,4176,3986,4367,4272,4426,5475,7067,5490,6657,9165,6834,7193,5088,5936,7329,9698,6293,4971,6004,5959,4838,5032,5496,4278,5067,5208,5677,4898,4844,5537,4782,4404,4281,4216,5440,6786,7904,7570,8549,7026,7398,7185,7845,5554,4569,4539,4465,4294,4613,5423,5861,5675,5264,5163,5222,5968,7279,7267,6803,5719,5545,5066,4604,4479
5,3863,3779,3864,3918,3898,3873,3826,3822,3869,3889,3942,3862,3869,3887,3892,3855,3852,3835,3843,3786,3938,3833,3910,3983,3940,3819,3700,3702,3833,3924,3943,4162,4246,4160,4093,3875,3867,3787,3784,3838,3901,4228,3910,3870,3882,3745,3706,3714,3794,3933,3943,4640,4676,3955,3954,3891,3971,3899,3865,3890,6017,7091,6172,6501,5991,5765,4882,4066,4475,5378,7141,8166,9178,8781,8507,6545,5145,5679,5875,5913,6074,7491,9856,10211,8899,9232,8022,6529,9305,9142,9451,10279,10499,11410,10405,7306,7990,7799,7335,7332,8447,10008,4490,4603,5144,6200,5468,6136,10239,10112,12796,9940,6978,7293,4652,5071,4537,4359,5204,5499,4481,3998,4019,3994,5091,5860,5331,7950,10055,10125,10545,11036,7763,5258,4854,4067,4287,3976,4519,4121,4401,5759,6419,4953,6501,7787,5993,8014,5484,5072,5567,7390,8176,6801,7067,6422,4753,5417,5148,4339,4980,5571,5888,5826,5896,7402,5284,4435,4316,4046,4433,4973,6474,8341,8813,7443,7352,7363,6294,5314,4553,4474,4283,4090,4160,5616,5574,5333,5189,5222,5235,5417,6324,6627,5352,4343,4442,4392,4524,4456
6,3846,3840,3868,3928,3921,3879,3864,3854,3848,3895,3858,3890,3905,3845,3877,3909,3859,3849,3835,3824,3850,3863,3910,3931,3929,3814,3679,3725,3737,3908,3879,4196,4234,4124,4053,3855,3798,3795,3797,3859,3890,3933,3926,3922,3868,3743,3763,3738,3794,3876,4183,4845,4939,3969,3934,3947,3963,3912,3890,3925,5986,6765,5890,5927,5623,5141,3874,3755,4729,5882,7490,8177,9098,8943,8813,6698,4837,4994,5415,5028,6309,8352,9393,8882,8302,7462,6968,5564,9340,8962,9655,8903,10898,11047,10187,7442,7537,7302,7213,7365,9019,8274,4748,4574,4370,4475,5385,6820,10565,9755,12123,9031,6977,5105,4699,4821,4451,4384,5102,5522,4662,4048,4013,4046,4088,5090,7348,9213,11176,9722,10340,11088,8052,4913,4941,4329,4437,4009,4236,4259,4682,5701,5800,4666,5746,7907,7190,8124,6456,5051,5089,6544,8570,7211,7377,6402,4667,5597,4521,4358,4724,5786,6020,6008,7497,8868,6374,5209,4222,4267,4031,4624,5495,8166,7028,6812,6012,6568,4906,4920,4323,4261,4099,4173,4128,5576,5358,5116,4889,4983,5086,5491,5873,5815,4617,4308,4269,4262,4332,4223
7,3798,3776,3879,3900,3902,3863,3826,3776,3821,3873,3833,3849,3852,3850,3816,3791,3842,3815,3758,3798,3879,3867,3873,3956,3910,3808,3670,3713,3753,3842,3852,4126,4210,4038,4016,3786,3768,3778,3752,3810,3895,3911,3921,3899,3854,3754,3740,3689,3721,3845,4341,5072,5204,4127,3889,3892,3928,3878,3887,3819,5932,6237,5623,5488,5391,4720,3757,3757,4827,5990,7445,8251,9609,9359,9063,7016,4920,4608,4936,4667,6481,8438,9118,8751,7883,7524,6585,6238,8785,9183,9643,10718,12913,11631,10859,8083,7614,7512,7291,7439,8983,7630,4750,4449,4410,4336,5001,6450,10719,10682,11654,10052,8978,6244,4398,4453,4455,4400,4898,5525,4708,4089,4023,4100,4133,4315,5856,8869,10831,10083,10090,10459,8183,5551,5022,4397,4480,4054,4321,4398,4687,5583,5525,4437,4830,6218,8281,9620,6924,5058,4841,6081,7964,7888,7816,6686,4969,5442,4502,4471,4941,6005,6166,6337,7036,8485,7795,5543,4161,4243,4028,4537,6405,7586,6300,6072,5788,6461,5021,4858,4281,4347,4204,4007,4502,4794,5127,5565,5368,5081,5124,5474,5902,5418,4565,4334,4274,4237,4327,4353
8,3766,3724,3785,3865,3880,3826,3788,3761,3773,3862,3767,3794,3766,3780,3785,3749,3758,3808,3763,3793,3769,3742,3820,3870,3848,3705,3651,3655,3705,3873,3839,4064,4131,4056,4008,3738,3743,3778,3719,3777,3874,3837,3813,3818,3793,3714,3695,3682,3702,3859,4601,5325,5613,4445,3899,3850,3908,3809,3814,3824,5480,5488,5331,5181,5264,4372,3689,4647,5002,6118,7533,8229,9310,9750,9597,7624,5096,4251,4461,4297,6656,8171,9064,8223,7689,7283,6672,7326,8119,9248,9207,10832,12295,11882,11427,9297,7376,7521,7725,7635,9107,7152,4581,4371,4410,4807,6303,6656,10613,11231,10911,10924,9249,6725,4480,4439,4352,4332,4912,5449,4515,4186,4200,4284,4228,5771,6713,8494,10155,9623,9863,10176,7833,5439,4863,4279,4487,4101,4415,4246,4863,5707,5675,4864,5337,8219,6076,7250,5981,4841,4830,6311,7894,7639,7081,6327,4766,5505,4664,4397,4989,5627,5854,5455,7138,8260,6489,4992,4235,4020,3940,4501,5348,7890,6794,6474,5925,6463,4892,4924,4199,4181,4014,4046,5044,5686,5045,4971,4799,4906,4842,5493,6000,6128,4704,4072,4110,4141,4221,4231
9,3828,3792,3855,3887,3912,3887,3839,3783,3824,3893,3829,3844,3828,3819,3789,3774,3773,3795,3812,3793,3879,3887,3907,3910,3910,3790,3663,3679,3793,3888,3893,4152,4210,4162,4025,3817,3798,3795,3833,3849,3935,3901,3914,3889,3860,3765,3681,3695,3773,3904,4882,5804,6245,5150,4038,3892,3938,3902,3861,3856,5230,5098,4946,5299,5092,4269,3793,5461,4581,6359,7358,8372,9233,9521,9583,8482,5374,3974,4177,3953,6683,8244,8033,7944,7279,7224,6179,7513,7835,10000,9259,10679,11861,12634,11184,10186,7070,7107,7217,7410,8572,7847,4552,4270,4349,5046,6413,8153,10975,10922,11182,9855,9409,6165,4406,4980,4194,4178,4801,5355,4679,4232,4194,4221,4554,6666,6393,8107,10139,10237,10137,10930,7718,4849,4692,4374,4423,4107,4476,4202,4521,6036,6096,4778,6042,7461,5956,7076,5563,4598,4699,6348,8035,6754,6973,6407,4712,5103,4508,4404,4774,5498,6359,5776,6771,8337,6195,4651,4269,3962,3973,4474,5517,7704,6581,6555,6107,6498,4948,4879,4332,4395,4151,4070,4254,5290,4917,4881,4701,4606,4726,5212,5651,5644,4492,4241,4194,4290,4294,4296
