frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,3594,3566,3614,3592,3584,3642,3651,3656,3662,3653,3618,3634,3630,3636,3617,3579,3742,3646,3597,3619,3648,3686,3708,3717,3690,3690,3730,3679,3719,3759,3671,3746,3771,3724,3763,3955,3766,3754,3753,3768,3744,3701,3663,3642,3745,3766,3784,3726,3787,3824,3967,3816,4017,3806,3930,3932,3814,3928,3671,3716,3753,3624,3613,3694,3800,3905,3823,4010,3771,3796,3927,3822,3849,3982,4174,3910,3747,3758,3709,3825,3711,3641,3654,3832,3861,3903,3899,4022,5512,4224,4316,5616,4546,4152,4223,4229,3872,4083,3936,3729,3678,3688,4097,4062,3832,3842,4086,4363,5344,4860,5406,5720,4828,4403,4482,4226,4278,4164,4131,4025,3672,3741,3784,4021,3772,3846,4143,4023,4227,4503,4680,4821,5130,5052,4660,4775,5110,4696,4302,4188,4528,4580,4455,4655,4973,4960,5760,6546,6389,7172,8127,8067,8330,8026,8196,8064,7601,7887,7533,6283,4016,4134,3948,4261,4301,4362,4476,4625,4759,5062,5132,5173,4907,5497,5037,5431,5249,4989,4979,4637,3710,4110,3988,3795,3908,3880,3896,4158,4182,4221,4273,4463,4402,4308,4332,3988,3979,3973,4548,4365
1,3509,3541,3561,3582,3539,3570,3561,3554,3592,3563,3627,3607,3575,3704,3611,3512,3695,3602,3559,3513,3549,3649,3628,3597,3566,3600,3613,3639,3637,3659,3681,3718,3679,3648,3603,3691,3763,3635,3642,3653,3550,3556,3591,3645,3632,3730,3718,3711,3603,3702,3655,3680,3716,3714,3787,3765,3640,3571,3583,3626,3640,3602,3616,3687,3777,3861,3659,3730,3720,3696,3697,3699,3688,3971,4029,3698,3684,3652,3618,3758,3790,3784,3696,3711,3854,3854,3710,3801,5046,4316,3964,5436,4257,4156,3726,3885,3918,3778,3701,3638,4263,3664,3764,3747,3664,3773,3823,4098,5274,4800,4908,5822,4445,4077,3905,3877,3913,3932,3858,3846,3718,3729,3822,3949,3689,3664,3863,3792,4325,4149,4204,4201,4677,4268,4446,4042,4421,4337,3958,3950,4600,4403,4117,4641,4838,4707,5408,6536,6065,7378,8074,7637,8146,7565,8225,7828,7119,7482,7230,6278,4113,4011,3792,4069,4270,4318,4410,4284,4767,4934,4540,4870,4562,4944,4998,5614,4953,5187,4895,4815,3655,3761,3932,3972,3727,3919,3797,3897,3950,3875,3928,4091,4127,4294,4065,3923,3855,3694,4063,4512
2,3630,3640,3638,3652,3663,3689,3617,3628,3631,3691,3706,3746,3706,3742,3692,3700,3743,3623,3600,3590,3957,3988,3732,3746,3711,3716,3726,3663,3777,3944,3897,3739,3736,3691,3739,3844,3771,3766,3793,3914,4001,3887,3830,3869,3738,3907,3885,3993,3827,4039,4089,3813,3947,3976,3872,3882,3930,3916,3648,3752,4002,4485,4073,4276,3945,4173,4066,4173,3988,3966,4003,3971,3985,4583,4050,3939,3967,4027,3939,4076,4166,4521,4281,4317,4329,4141,4275,4314,5681,4814,4733,5287,4744,4441,4355,4183,4565,4300,4115,3965,4505,4463,4443,4773,4304,4487,4634,5135,6199,6324,6837,6012,4832,4780,4456,4763,4683,4703,4105,4521,4077,4027,4566,4107,4218,4241,4473,4141,4467,5138,4895,4956,5099,4691,5027,4633,4778,4559,4176,4099,4719,4303,4668,5079,4807,5149,5712,7034,6788,8225,8485,8753,8228,8236,8625,7716,7794,7782,7338,6439,4296,4420,4008,4258,4500,4556,4787,4391,4836,4782,5375,5274,5720,4820,5013,5345,5189,5424,5137,5322,4051,3990,4132,4609,4214,4300,4095,4224,4502,4135,4378,4453,4415,4454,4282,4078,3993,4241,4038,4410
3,3510,3579,3545,3539,3687,3581,3512,3519,3564,3559,3587,3589,3589,3558,3590,3541,3484,3578,3572,3573,3927,3997,3557,3620,3606,3579,3604,3630,3605,3769,3822,3613,3549,3622,3611,3628,3581,3595,3588,3761,4222,4055,3613,3872,3623,3579,3642,3719,3625,4231,4209,3591,3814,3993,3612,3610,3800,4101,3551,3779,4072,3918,3852,4509,3877,3768,4133,4389,3986,3758,3973,4047,3916,4278,3840,3838,3982,4162,4000,3797,4376,4711,5272,4568,4577,4615,5282,5133,4837,4400,5047,5156,5626,5039,4892,4381,5195,4655,4128,3980,5004,6545,6360,5231,5008,5535,6451,5480,7129,5871,6643,5505,5857,6144,5342,5419,5765,4884,4513,4692,3939,4194,5979,4379,4441,5180,5267,4226,4512,5415,5321,6072,6325,4609,6438,5409,4500,4255,4009,3753,3601,3579,4672,4438,3652,3659,3924,4243,5068,5067,4907,5088,4752,4813,4079,3857,4177,3842,3551,3601,3808,3839,3918,4051,3725,3754,4206,3732,3649,3821,4529,4807,5129,4323,4008,3802,3959,4106,3830,3720,4067,4054,3960,4282,3911,4028,3957,4467,4365,3926,4410,4246,4161,3844,3804,3910,3858,4049,3996,3973
4,3552,3579,3591,3607,3625,3620,3581,3615,3584,3603,3633,3636,3620,3618,3639,3617,3522,3599,3615,3627,4000,3992,3621,3687,3694,3704,3679,3627,3655,3814,3835,3631,3586,3610,3675,3718,3661,3667,3631,3809,4250,4131,3670,4055,3684,3679,3718,3852,3666,4279,4245,3616,3831,4037,3679,3646,3831,4195,3636,3791,4114,3998,3952,4602,4005,3841,4175,4446,4013,3820,4031,4060,3964,4380,3874,3920,4047,4227,4066,3875,4424,4634,5544,4968,4866,4755,5403,5078,4772,4472,4961,4934,5651,4935,4711,4436,5850,4749,4163,4005,5245,5462,6042,5844,5162,5665,6735,5361,7068,5303,6284,5268,5608,5897,5414,5227,5407,4846,4308,4705,3989,4249,7010,5531,4511,5117,4885,4239,4559,5546,5403,5047,5714,4542,5394,5369,5236,4370,4086,3830,3671,3606,4731,4623,3805,3751,3933,4337,5058,4963,4921,4855,4603,4591,3933,4195,4566,3885,3592,3621,3865,3946,3976,4094,3819,3831,4247,3772,3766,3907,4402,4716,5070,4321,4056,3812,3991,4180,3911,3744,4058,4090,4077,4366,3970,4088,4023,4485,4402,4041,4372,4346,4202,3920,3893,3925,3864,4055,3999,4101
5,3607,3647,3628,3610,3596,3634,3664,3612,3672,3644,3620,3672,3643,3663,3591,3565,3504,3560,3625,3617,3989,4035,3666,3620,3732,3656,3584,3551,3703,3892,3845,3603,3596,3609,3624,3644,3679,3586,3630,3819,4175,4085,3654,4022,3651,3676,3766,3774,3689,4240,4201,3578,3871,4025,3647,3587,3805,4126,3597,3794,4076,3993,3923,4606,3971,3817,4174,4417,4016,3806,3986,4042,3912,4271,3817,3858,4023,4168,4003,3749,4312,4484,4574,6202,5135,4920,5636,5027,4615,4415,4995,4673,5349,4827,4596,4314,5544,4653,4105,3978,4914,5473,6255,7555,4737,5850,6203,5289,6888,5159,6242,5260,5453,5806,4795,5065,5273,4760,4294,4672,3906,4184,6004,7248,4672,5126,4921,4206,4431,5353,5324,6885,5704,4415,4630,5244,5047,4277,4048,3784,3612,3539,4808,5872,4036,3746,3912,4273,4895,4864,4766,4988,4558,4557,3822,4117,4772,3844,3567,3587,3819,3846,3903,4205,3792,3787,4203,3714,3682,3825,4329,4673,4854,4269,3986,3758,3895,4110,3813,3707,4045,4014,4014,4326,3929,3990,3939,4432,4340,3982,4240,4231,4125,3843,3850,3892,3844,4016,3935,4020
6,3604,3598,3600,3574,3523,3588,3687,3669,3580,3656,3676,3605,3664,3608,3566,3523,3573,3552,3578,3608,3996,4108,3658,3715,3754,3764,3672,3551,3774,3900,3899,3627,3617,3610,3649,3724,3759,3662,3702,3906,4350,4206,3781,4033,3826,3801,3843,3771,3738,4325,4315,3682,3894,4077,3719,3696,3936,4297,3665,3893,4216,4013,3994,4607,4000,3941,4374,4568,4057,3850,4107,4137,3989,4364,3918,3967,4117,4352,4129,3877,4443,4604,4581,5251,6490,5137,6231,5262,4720,4510,4990,4899,5577,5023,4827,4488,5529,4816,4242,4065,5118,5261,4660,6910,6202,5825,5997,5414,6951,5313,5805,5362,5709,5762,4948,5253,5233,4887,4284,4782,3963,4228,5340,7701,7366,5634,4872,4286,4527,5479,5431,6944,6116,4391,4802,5476,5679,4317,4102,3832,3670,3608,4806,5796,6445,4583,4104,4343,5002,5003,4852,4913,4568,4621,3943,4263,5058,3914,3600,3592,3887,3960,4012,4441,4276,4284,4522,3829,3752,3871,4419,4735,5103,4342,4045,3803,4042,4148,3892,3819,4188,4087,4095,4390,4098,4087,4102,4608,4435,4098,4441,4357,4217,3971,3895,3925,3938,4110,4019,4053
7,3548,3563,3557,3495,3484,3627,3702,3607,3588,3567,3667,3684,3644,3665,3663,3518,3577,3477,3546,3554,3974,3983,3584,3650,3630,3658,3584,3597,3704,3861,3877,3689,3637,3648,3692,3646,3674,3553,3564,3793,4226,4061,3652,3947,3689,3628,3728,3731,3749,4300,4233,3657,3936,4022,3657,3621,3892,4093,3583,3800,4078,3894,3907,4464,3929,3732,4152,4373,3964,3835,4041,4004,3897,4226,3812,3807,3963,4172,3992,3761,4370,4396,5149,4523,5257,6012,5827,4938,4424,4393,4659,4567,6077,4901,4594,4319,5418,4718,4085,3957,4932,4958,5434,5260,5913,7117,6006,5213,5598,5149,5581,5047,5886,6042,4684,5081,5413,4682,4307,4628,3902,4042,5315,5214,6385,7097,5644,4277,4430,5258,5263,6949,6040,4409,5047,5686,5588,4251,4013,3788,3645,3559,4615,4997,6149,6891,5308,4338,4875,4907,4754,5103,4482,4558,3997,4308,4904,3799,3552,3569,3780,3862,3929,4220,4071,4200,4267,3734,3717,3841,4373,4599,4895,4263,4000,3741,3901,4094,3812,3733,3999,3988,4040,4314,3971,4045,4042,4457,4349,3944,4285,4237,4121,3843,3788,3858,3870,3952,3929,4001
8,3580,3576,3590,3522,3515,3622,3540,3567,3565,3595,3607,3598,3570,3563,3583,3603,3561,3531,3563,3580,3988,4062,3595,3582,3685,3659,3596,3645,3689,3807,3866,3650,3592,3631,3663,3694,3698,3598,3652,3848,4327,4165,3739,4036,3674,3684,3787,3757,3740,4311,4336,3646,3848,4123,3665,3659,3878,4220,3707,3828,4166,4022,4052,4590,3966,3774,4196,4524,4051,3844,4048,4129,4055,4394,3932,3873,4110,4260,4109,3801,4517,4561,6185,4688,4998,4726,6781,5870,4509,4504,4746,4389,6757,5233,4808,4441,5493,4844,4219,4126,5092,4984,5324,5405,5156,6446,7664,6739,5129,5370,5679,6074,6391,6291,5435,5193,6176,4849,4391,4701,4069,4151,7158,4851,5361,6696,8395,6520,4500,5428,5508,7077,6743,4515,4984,5590,6188,4286,4067,3873,3715,3675,4720,4599,4901,6334,7915,6402,4954,5048,5049,4956,4657,5011,3955,4303,4858,3884,3591,3597,3895,4017,4120,4373,4139,4098,4690,3829,3761,3827,4356,4676,5005,4344,4067,3830,4044,4170,3908,3786,4052,4079,4096,4411,4105,4120,4122,4507,4434,4032,4411,4368,4214,3917,3879,3960,3906,4053,4017,4120
9,3516,3577,3576,3484,3484,3581,3504,3520,3526,3556,3578,3590,3544,3520,3564,3552,3526,3487,3550,3554,3952,3992,3535,3563,3612,3621,3553,3561,3648,3787,3801,3620,3556,3630,3640,3647,3661,3586,3585,3790,4193,4068,3690,3958,3706,3630,3779,3739,3730,4245,4199,3615,3764,4044,3635,3598,3813,4126,3621,3811,4108,3957,3927,4495,3914,3751,4180,4393,4082,3835,3970,4028,4008,4311,3884,3811,4042,4238,4046,3750,4431,4452,4984,5834,4817,4667,5634,6325,4621,4375,4853,4763,6209,5104,4584,4347,5359,4744,4108,4007,5108,4794,5932,6227,4993,5493,6279,7040,6046,5151,5559,5629,5773,5630,5426,4992,6277,4873,4300,4655,3953,4064,6479,7507,4431,5980,6780,8798,6569,5266,5396,5892,6727,4445,5016,5099,6402,4209,3996,3765,3671,3567,4728,5091,3884,4790,5666,6199,5142,4864,4686,4670,4477,4633,3843,4028,4373,3795,3538,3574,3860,3960,3934,4027,3783,3848,4254,3781,3662,3806,4298,4601,4983,4286,3950,3739,3942,4084,3830,3726,4062,4010,4041,4333,3904,4031,3990,4381,4331,3949,4377,4251,4106,3825,3800,3868,3877,3977,3963,4048
