frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
1,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
2,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
3,3924,4049,3957,3928,3875,3856,3860,3945,3967,3910,3959,3900,3921,3929,3839,3868,3967,3870,3909,3953,3941,3930,3969,3906,3895,3924,3970,3925,4055,4007,4100,4086,3966,3981,4101,3951,3935,3952,4025,3973,3907,3774,3923,3871,4009,4031,3908,3837,3839,4011,4124,3928,3890,4014,4152,3968,3878,3920,3883,3936,3900,3915,3903,3903,3986,3895,3853,3867,4053,4173,4142,4041,3935,3954,3943,3957,3979,3891,3881,3990,3797,3825,3896,4144,3983,3910,4031,3977,4038,4081,3984,4015,4060,4128,3918,3855,3949,3871,3852,3964,4032,3945,3873,3849,3801,3764,4005,3793,3934,3841,3809,3901,3946,4095,3807,3671,3972,3930,4028,4109,4125,3902,3823,3723,3636,3629,3753,4019,4023,3963,4032,4032,4041,3700,3645,3614,3875,4024,4020,4074,3926,3837,3751,3729,3610,3610,3636,3666,3737,3767,3765,3752,3665,3610,3610,3610,3718,3756,3908,4130,3727,3690,3681,3655,3625,3625,3625,3624,3643,3638,3660,3659,3663,3625,3640,3625,3627,3910,3890,3714,3942,3944,3929,3869,4114,4362,4079,4098,4059,3912,3921,3981,4017,4178,4401,4177,4015,4151,4014,3976
4,4497,4400,4149,4256,4218,4323,4298,4495,4486,4445,4593,4391,4563,4607,4259,4298,4333,4380,4404,4492,4599,4620,4788,4445,4455,4500,4850,4439,5017,4908,4963,4952,4525,4605,4627,4420,4551,4475,4649,4525,4373,4229,4373,4779,4981,4920,4434,4412,4310,4770,4927,4644,4425,4490,5123,4757,4661,4339,4239,4600,4820,4927,4561,4717,5035,4268,4102,4507,5205,6069,5682,5198,4623,4677,4783,5022,4898,4517,4703,4865,4484,4366,4639,5212,4837,4515,5073,4516,5107,5407,4807,4808,4837,5206,4655,4413,4740,4407,4278,5040,5123,4972,4789,4494,4537,4186,4913,4211,4642,4490,4340,4549,4441,5264,4432,3997,4930,4946,5159,5389,5180,4855,4453,4035,3795,3679,4241,5037,4921,4597,4727,4859,4888,3956,3734,3682,4530,4825,4923,4994,4611,4417,4326,3883,3629,3635,3738,3806,3946,4308,4182,3891,3807,3629,3629,3629,4060,4118,4614,5044,4040,4006,3891,3678,3639,3621,3640,3604,3700,3686,3709,3696,3635,3629,3624,3610,3675,4455,4443,4010,4542,4694,4592,4521,5335,6269,5052,4897,4770,4171,4265,4538,4856,5346,6308,5309,4816,5123,5050,4637
5,4521,4404,4306,4268,4255,4372,4349,4536,4545,4511,4676,4472,4570,4623,4356,4379,4363,4410,4397,4386,4406,4609,4776,4412,4266,4627,4724,4496,4970,5071,5045,5019,4584,4702,4572,4341,4539,4404,4537,4483,4565,4226,4413,4810,5165,5007,4502,4714,4249,4795,5158,4592,4560,4595,5307,4999,4675,4361,4262,4674,5040,5015,4704,4771,5008,4377,4271,4573,5450,6620,5699,5038,4678,4567,5048,5201,5022,4664,4907,5212,4413,4531,4795,5441,5136,4663,5220,4511,5260,5750,5131,4942,4915,5345,4775,4496,4992,4556,4481,5194,5404,5737,5178,4778,4815,4338,4887,4169,4669,4581,4388,4748,4415,5448,4597,4103,5498,5333,5580,5777,5255,4932,4439,4029,3785,3662,4284,4964,5030,4506,4599,4804,4960,4029,3747,3658,4755,5195,5078,5383,4715,4385,4526,3897,3607,3598,3713,3836,3910,4148,4035,3866,3829,3609,3596,3596,4049,4278,4753,5182,4060,3991,3939,3763,3623,3606,3636,3638,3748,3765,3728,3747,3668,3598,3608,3612,3677,4558,4476,3938,4460,4664,4822,4484,5159,6378,4924,4807,4736,4170,4352,4584,4904,5342,6726,5158,4794,5060,5214,4612
6,4525,4350,4216,4185,4154,4217,4437,4681,4666,4738,4858,4689,4856,4761,4242,4151,4206,4265,4541,4484,4564,4874,4930,4495,4367,4872,5041,4714,5053,5134,5272,5212,4715,5143,4849,4359,4602,4580,4653,4571,4449,4335,4556,5073,5410,5282,4564,4921,4313,4801,5237,4747,4830,4612,5489,5212,4850,4405,4220,4679,5137,5359,4878,5087,5374,4424,4230,4838,5425,6905,6051,5435,4837,4690,5085,5426,5137,4843,5199,5387,4654,4797,5005,5972,5315,4655,5446,4743,5426,6021,5458,5021,5099,5438,4864,4661,5320,4843,4708,5530,6444,6074,5641,5188,5211,4393,4984,4200,4849,4635,4470,4638,4650,5498,4737,4386,5925,5870,6238,6582,5536,5349,4638,4188,3957,3707,4186,5025,5036,4635,4801,4846,5084,3965,3803,3705,4967,5296,5354,5376,4897,4559,4565,3945,3616,3645,3735,3815,3916,4204,4142,3863,3767,3669,3595,3595,4211,4475,5154,5642,4057,3898,3851,3765,3618,3625,3639,3645,3713,3719,3732,3743,3711,3633,3632,3638,3731,4674,4517,4047,4506,4671,4788,4515,5263,6317,4993,4711,4540,4065,4302,4419,4726,5192,6651,5177,4676,4943,4958,4661
7,4895,4598,4477,4443,4460,4343,4606,4937,4843,4979,5146,4951,5029,5029,5235,4661,4574,5094,5114,4944,5882,5234,5192,4811,4644,5261,5455,4924,5595,5520,5469,5344,5103,5841,6121,5080,4902,4963,5310,5243,5751,5960,4819,5512,5845,5658,4744,5150,4487,4782,5437,4884,5185,5098,6347,5631,5074,4739,4563,4926,6460,6607,5429,5490,5778,4631,4344,4972,5986,7288,6365,5383,5119,5092,5579,5853,5400,5212,5589,5810,6049,6089,5572,6325,5588,4975,5797,5050,5851,6536,6236,5552,5617,5924,5217,4884,5777,5373,5096,5955,7855,6792,5993,5606,5624,4548,5328,4441,5179,5001,5116,4929,5246,6059,4968,4594,6133,6286,6488,6632,6302,5653,4829,4486,4144,3764,4383,5378,5283,4884,5114,5423,5539,4193,3944,3874,5221,5676,5825,5769,5677,4965,4815,4122,3627,3696,3791,3845,3958,4348,4262,4130,3953,3835,3749,3770,4386,4954,5598,5773,4247,4220,3972,3788,3608,3630,3697,3715,3739,3867,3855,3855,4396,3776,3716,3727,3838,5276,5120,4167,4094,4279,4352,4179,4577,5299,4424,4271,4082,3820,4003,4036,4272,4587,5471,4589,4289,4773,4726,4334
8,4155,3883,3890,3963,3921,3754,3935,3894,3932,3964,3722,3703,3773,4190,5189,4433,4304,4899,4614,4265,5508,4443,4025,4098,4065,3956,3924,3801,3745,3650,3706,3781,4147,5021,6213,4659,3899,4310,4655,4583,5329,6004,4133,3920,3776,3817,3885,3881,3769,3826,3841,3814,4259,4711,5378,4582,3834,4124,4168,4108,5429,5490,3995,3874,3859,3659,3880,3876,3927,3993,3861,3671,4498,4493,4834,4319,3927,4147,4131,3935,5507,5455,3870,3916,3765,3669,3853,3809,3805,4200,4974,4437,4530,4239,3901,3881,3811,4189,4024,3928,5681,5075,3765,3882,3828,3833,3811,3858,3875,4006,4696,4565,4612,4136,3936,3794,3826,4265,4085,3911,4699,4178,3692,3821,3802,3758,3834,3803,3929,3978,4567,4268,3956,4013,3730,3772,3986,4079,4082,3907,4479,4292,3740,3642,3643,3748,3770,3825,3870,3866,3922,3962,4070,3851,3742,3738,3835,4115,4241,3849,4007,4257,3762,3733,3659,3623,3764,3667,3673,3665,3658,3689,4531,3875,3719,3779,3768,4319,4337,3972,4159,4313,4414,4270,4653,5458,4497,4189,4082,3878,4005,4078,4286,4677,5625,4665,4362,4860,4763,4410
9,4028,3791,3856,3887,3782,3792,3840,3782,3887,3934,3747,3668,3725,4015,4958,4296,4136,4555,4337,4071,5181,4264,3922,3931,3851,3817,3793,3708,3697,3626,3645,3757,3972,4610,5616,4385,3827,4066,4399,4296,4927,5438,3926,3795,3723,3757,3778,3794,3700,3799,3744,3726,4062,4512,5044,4397,3801,3984,3997,3900,4926,4989,3824,3752,3833,3617,3732,3698,3852,3911,3708,3647,4234,4284,4709,4205,3829,3906,3873,3821,5070,4930,3752,3745,3685,3614,3701,3699,3659,3999,4636,4247,4265,4080,3844,3769,3656,3868,3929,3832,4952,4594,3705,3791,3729,3639,3675,3706,3751,3896,4398,4273,4480,3938,3808,3694,3692,3996,3961,3901,4385,3998,3680,3695,3740,3649,3796,3731,3815,3867,4355,4113,3859,3884,3662,3683,3727,3896,3860,3838,4229,4167,3624,3640,3663,3689,3707,3787,3810,3734,3782,3819,3909,3704,3697,3691,3680,3866,4008,3791,4018,4119,3702,3692,3640,3605,3757,3656,3621,3612,3641,3685,4211,3760,3662,3642,3693,4067,4213,3791,4028,4207,4258,4143,4565,5281,4398,4112,4000,3767,3894,3985,4200,4558,5456,4548,4221,4637,4610,4282
