frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,3810,3890,3807,3763,3794,3773,3942,4171,4641,4914,4741,4555,4747,4659,4604,4154,3830,3810,3809,3793,3931,3834,3891,3731,3776,3755,3770,4476,6372,6429,6163,7019,6531,6259,5965,4875,4023,3802,3812,3803,4017,4682,4870,4977,4063,3890,3769,4642,5617,5756,5983,5209,6389,6794,6232,6376,5887,4282,3875,3931,4174,5724,5334,5357,5701,4698,4493,4737,5108,5245,5179,5116,5215,5488,5599,5510,4890,4792,4300,3931,4994,5196,5118,4999,5177,4759,5499,4940,4105,4021,4267,4358,4626,4743,4653,4618,4670,4543,4525,4688,4749,4569,4488,4370,4351,4432,4651,4832,4723,4659,4327,4145,4244,4479,4352,4343,4119,4330,4358,5090,4960,4802,4049,4268,4228,4651,4207,4060,5098,5166,4998,4517,4227,4305,4279,4454,4723,4575,4954,4811,4383,4202,4253,4293,4305,4417,4416,4600,4924,4892,5002,4515,4509,4447,4468,4431,4649,4494,4187,4482,3931,4165,4496,4586,4343,4406,4160,4080,3965,3826,3959,3876,4039,4258,4413,4343,4272,4312,4103,4071,4129,4355,4204,4542,4463,4726,4552,4526,4659,4584,4704,4933,4819,4839,4730,4362,4357,4297,4228,4134
1,5796,6259,6054,6373,6384,6412,6578,6483,5864,5602,5660,5669,5692,5782,5843,5925,5914,5570,5516,5639,4755,4946,4837,4861,5167,5437,6112,6142,5469,4930,5385,5432,5099,5087,5475,5868,5965,5344,4650,4665,3947,3933,4387,4571,4492,4306,5076,5414,5069,5082,4849,4729,4468,4617,4993,5217,5415,5017,4157,3980,3924,4505,5098,4676,5078,4593,4188,4893,4782,4542,4508,4757,4497,4419,4630,4559,4564,4502,4382,3971,4296,4392,4771,4698,4569,4226,4735,4831,4008,3846,3911,4004,3978,4035,3963,4024,4129,4126,4088,4334,4100,4028,4232,4164,4098,4171,4299,4437,4389,4350,4205,4005,3974,4008,3881,3927,3928,3895,3882,4144,4338,4236,4072,4158,4169,4010,3929,3994,4315,4680,4410,4207,4099,4054,3925,4020,4010,4022,4341,4259,4146,3989,4029,4167,4008,4112,4084,4169,4109,4453,4360,4116,4072,4100,4101,4029,4104,4371,3947,4051,3972,3990,4186,4337,4083,4120,4076,4044,3878,3835,3839,3746,3861,4109,4102,3956,4119,4219,4050,4080,4040,4118,3919,4154,4066,4138,4325,4119,4269,4325,4307,4371,4264,4248,4214,4014,4015,4147,4133,4076
2,4271,4409,4343,4427,4378,4423,4425,4394,4447,4265,4225,4397,4353,4464,4339,4427,4333,4311,4218,4130,4363,4538,4522,4508,4518,4463,4337,4530,4358,4403,4171,4110,3999,4054,4172,4207,4112,4100,4231,4223,4210,4308,4419,4595,4520,4443,4511,4395,4276,4365,4301,4216,4040,3934,3955,4052,4320,4294,4161,4091,3805,3881,4202,4242,4339,4331,4276,4147,4098,4017,3990,3861,3924,4082,4145,4257,4248,4144,4059,4122,4018,4083,4144,4050,4080,3886,3986,4161,3999,3850,3698,3727,3754,3888,3791,3917,3934,3813,3797,3877,3891,3932,4008,3902,3960,3888,3862,3977,4054,3977,3790,3673,3754,3798,3765,3701,3794,3720,3701,3922,4000,4051,3917,3775,3905,3901,3758,3833,4023,4027,3948,3809,3950,3803,3938,3829,3873,3829,4013,4044,4020,3921,3933,3839,3825,3947,3911,3996,3983,4078,4034,3908,4032,3949,3889,3783,3835,3988,3938,3922,3811,3898,3997,3998,3989,3927,3837,3842,3744,3765,3772,3678,3805,3780,3883,3730,3842,3923,3841,3768,4053,3983,3904,3948,3855,4011,4019,4103,4152,3950,4108,3978,3922,4042,4026,3896,4092,3926,4055,4025
3,3666,3659,3633,3648,3662,3639,3635,3620,3632,3634,3595,3595,3631,3598,3596,3630,3621,3608,3612,3646,3632,3607,3629,3629,3640,3618,3626,3620,3621,3620,3625,3619,3595,3595,3595,3595,3595,3595,3595,3595,3595,3609,3628,3632,3623,3624,3622,3614,3622,3656,3642,3615,3595,3595,3595,3595,3595,3595,3595,3595,3613,3640,3630,3616,3625,3634,3625,3621,3640,3614,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3611,3609,3631,3616,3595,3595,3621,3624,3614,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3612,3612,3600,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3600,3595,3595,3605,3595,3595,3633,3631,3629,3618,3595,3595,3641,3595,3595,3623,3595,3639,3626,3644,3631,3615,3635,3655,3636,3634
4,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
5,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
6,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
7,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,4268,4404,3844,3595,3595,3697,4233,4391,3714,3595,3595,3797,4293,4384,3595,3595,3595,3595,3595,3595,4260,4473,3687,3595,3595,3629,4319,4379,3627,3595,3595,3670,4441,4288,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
8,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,4278,4373,3855,3595,3595,3700,4237,4333,3715,3595,3595,3813,4256,4391,3595,3595,3595,3595,3595,3595,4262,4481,3685,3595,3595,3628,4343,4386,3620,3595,3595,3668,4487,4321,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
9,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,4278,4373,3855,3595,3595,3700,4237,4333,3715,3595,3595,3813,4256,4391,3595,3595,3595,3595,3595,3595,4262,4481,3685,3595,3595,3628,4343,4386,3620,3595,3595,3668,4487,4321,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
