frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,3869,3640,3640,3640,3640,3640,3640,3703,3815,3892,3912,3854,3721,3640,3640,3640,3640,3640,3640,3982,3934,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,4009,3820,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3851,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,4318,3921,3811,3755,3640,3640,3640,3640,3640,4179,4393,3640,3640,3640,3640,3685,3799,4027,3640,4268,4514,3929,3829,3785,3640,3640,3640,3640,3640,4453,4603,3640,3640,3640,3640,3697,3828,4004,3640,4503,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3826,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3809,4004,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,4017,3879,3640,3640,3640,3640,3640,3640,3640,3852,3867,3897,3827,3723,3640,3640,3640,3640,3640,3640,3916
1,3824,3640,3640,3640,3640,3640,3640,3776,3943,4136,4181,4016,3850,3640,3640,3640,3640,3640,3640,3877,3860,3640,3640,3640,3640,3640,3640,3640,3640,3996,4112,3640,3640,3640,3640,3640,3640,3640,3640,3918,3775,3640,3640,3640,3640,3640,3640,3640,3640,3819,3813,3640,3640,3640,3640,3640,3640,3640,3640,3751,3640,3640,3640,3640,3640,3640,3640,3640,3640,3769,3821,3640,3640,3640,3640,3640,3640,3640,3640,3640,4341,3844,3750,3851,3782,3838,3907,3732,3640,4194,4435,3640,3754,3910,4038,3705,3870,3873,3640,4270,4511,3862,3808,3897,3824,3845,3940,3766,3640,4431,4568,3640,3773,3920,3986,3735,3881,3922,3640,4518,3640,3640,3640,3640,3640,3640,3640,3640,3640,3768,3786,3640,3640,3640,3640,3640,3640,3640,3640,3640,3764,3640,3640,3640,3640,3640,3640,3640,3640,3841,3817,3640,3640,3640,3640,3640,3640,3640,3640,3766,3893,3640,3640,3640,3640,3640,3640,3640,3640,4075,4108,3640,3640,3640,3640,3640,3640,3640,3640,3916,3831,3640,3640,3640,3640,3640,3640,3640,4113,4191,4146,4072,3802,3640,3640,3640,3640,3640,3640,3924
2,3799,3640,3640,3640,3640,3640,3640,3701,3835,3938,4010,3862,3737,3640,3640,3640,3640,3640,3640,3880,3888,3640,3640,3640,3640,3640,3640,3640,3640,3874,3940,3640,3640,3640,3640,3640,3640,3640,3640,3972,3820,3640,3640,3640,3640,3640,3640,3640,3640,3733,3814,3640,3640,3640,3640,3640,3640,3640,3640,3801,3640,3640,3640,3640,3640,3640,3640,3640,3640,3832,3899,3640,3640,3640,3640,3640,3640,3640,3640,3640,4336,3890,3750,3783,3730,3748,3818,3843,3855,4197,4391,3897,3846,3817,3813,3677,3803,3951,3640,4277,4511,3920,3801,3859,3754,3776,3881,3829,3947,4438,4597,3857,3895,3826,3840,3697,3823,4004,3640,4522,3640,3640,3640,3640,3640,3640,3640,3640,3640,3891,3920,3640,3640,3640,3640,3640,3640,3640,3640,3640,3804,3640,3640,3640,3640,3640,3640,3640,3640,3797,3810,3640,3640,3640,3640,3640,3640,3640,3640,3819,3936,3640,3640,3640,3640,3640,3640,3640,3640,3854,3870,3640,3640,3640,3640,3640,3640,3640,3640,3927,3831,3640,3640,3640,3640,3640,3640,3640,3936,4010,3984,3942,3737,3640,3640,3640,3640,3640,3640,3881
3,3961,3640,3640,3640,3640,3640,3640,3772,4036,4336,4294,4097,3852,3640,3640,3640,3640,3640,3640,4151,4058,3640,3640,3640,3640,3640,3640,3640,3640,3933,4041,3640,3640,3640,3640,3640,3640,3640,3640,4112,3874,3640,3640,3640,3640,3640,3640,3640,3640,3732,3820,3640,3640,3640,3640,3640,3640,3640,3640,3857,3640,3640,3640,3640,3640,3640,3640,3640,3640,3772,3837,3640,3640,3640,3640,3640,3640,3640,3640,3640,4344,3928,3808,3901,3771,3792,3808,3751,3772,4202,4405,3764,3780,3798,3891,3733,3987,4091,3640,4258,4511,3961,3894,3992,3793,3820,3844,3803,3803,4443,4577,3785,3813,3818,3928,3780,3992,4068,3640,4541,3640,3640,3640,3640,3640,3640,3640,3640,3640,3799,3846,3640,3640,3640,3640,3640,3640,3640,3640,3640,3836,3640,3640,3640,3640,3640,3640,3640,3640,3790,3812,3640,3640,3640,3640,3640,3640,3640,3640,3835,4122,3640,3640,3640,3640,3640,3640,3640,3640,3956,3952,3640,3640,3640,3640,3640,3640,3640,3640,4088,4001,3640,3640,3640,3640,3640,3640,3640,4222,4407,4344,4195,3883,3640,3640,3640,3640,3640,3640,4050
4,3934,3640,3640,3640,3640,3640,3640,3751,3961,4101,4130,4027,3825,3640,3640,3640,3640,3640,3640,4043,3983,3640,3640,3640,3640,3640,3640,3640,3640,4061,4065,3640,3640,3640,3640,3640,3640,3640,3640,4032,3775,3640,3640,3640,3640,3640,3640,3640,3640,3838,3961,3640,3640,3640,3640,3640,3640,3640,3640,3755,3640,3640,3640,3640,3640,3640,3640,3640,3640,3860,3936,3640,3640,3640,3640,3640,3640,3640,3640,3640,4344,3803,3798,3921,3772,3810,3933,3840,3832,4192,4396,3815,3864,3936,4002,3727,3937,3955,3640,4241,4505,3831,3862,3903,3817,3886,3954,3897,3862,4442,4574,3834,3902,3977,3967,3722,3920,3935,3640,4525,3640,3640,3640,3640,3640,3640,3640,3640,3640,3906,3933,3640,3640,3640,3640,3640,3640,3640,3640,3640,3763,3640,3640,3640,3640,3640,3640,3640,3640,3924,3932,3640,3640,3640,3640,3640,3640,3640,3640,3756,4012,3640,3640,3640,3640,3640,3640,3640,3640,4104,4015,3640,3640,3640,3640,3640,3640,3640,3640,3996,3938,3640,3640,3640,3640,3640,3640,3640,4027,4240,4100,4065,3827,3640,3640,3640,3640,3640,3640,3969
5,3794,3640,3640,3640,3640,3640,3640,3701,3850,3920,3993,3869,3738,3640,3640,3640,3640,3640,3640,3889,3852,3640,3640,3640,3640,3640,3640,3640,3640,3884,3967,3640,3640,3640,3640,3640,3640,3640,3640,3927,3775,3640,3640,3640,3640,3640,3640,3640,3640,3806,3890,3640,3640,3640,3640,3640,3640,3640,3640,3752,3640,3640,3640,3640,3640,3640,3640,3640,3640,3848,3955,3640,3640,3640,3640,3640,3640,3640,3640,3640,4334,3818,3734,3805,3733,3744,3854,3849,3912,4199,4393,3888,3916,3898,3851,3683,3817,3861,3640,4271,4501,3836,3815,3858,3749,3785,3940,3888,3934,4456,4574,3937,3932,3945,3869,3693,3815,3907,3640,4522,3640,3640,3640,3640,3640,3640,3640,3640,3640,3841,3959,3640,3640,3640,3640,3640,3640,3640,3640,3640,3774,3640,3640,3640,3640,3640,3640,3640,3640,3847,3892,3640,3640,3640,3640,3640,3640,3640,3640,3752,3893,3640,3640,3640,3640,3640,3640,3640,3640,3895,3885,3640,3640,3640,3640,3640,3640,3640,3640,3911,3851,3640,3640,3640,3640,3640,3640,3649,3932,4026,3999,3925,3741,3640,3640,3640,3640,3640,3640,3887
6,3952,3640,3640,3640,3640,3640,3640,3733,3942,4061,4097,3955,3770,3640,3640,3640,3640,3640,3640,4073,3997,3640,3640,3640,3640,3640,3640,3640,3640,3883,3955,3640,3640,3640,3640,3640,3640,3640,3640,4095,3870,3640,3640,3640,3640,3640,3640,3640,3640,3747,3850,3640,3640,3640,3640,3640,3640,3640,3640,3876,3640,3640,3640,3640,3640,3640,3640,3640,3640,3781,3855,3640,3640,3640,3640,3640,3640,3640,3640,3640,4358,3958,3811,3824,3725,3732,3813,3772,3805,4181,4361,3776,3789,3798,3813,3688,3898,4006,3640,4256,4501,3979,3894,3914,3762,3796,3888,3818,3836,4465,4591,3787,3804,3842,3827,3715,3897,4045,3640,4524,3640,3640,3640,3640,3640,3640,3640,3640,3640,3804,3845,3640,3640,3640,3640,3640,3640,3640,3640,3640,3851,3640,3640,3640,3640,3640,3640,3640,3640,3817,3821,3640,3640,3640,3640,3640,3640,3640,3640,3864,4047,3640,3640,3640,3640,3640,3640,3640,3640,3876,3898,3640,3640,3640,3640,3640,3640,3640,3640,4114,3966,3640,3640,3640,3640,3640,3640,3650,4031,4128,4114,3991,3791,3640,3640,3640,3640,3640,3640,4020
7,3953,3640,3640,3640,3640,3640,3640,3794,4082,4127,4186,4114,3881,3640,3640,3640,3640,3640,3640,4099,4007,3640,3640,3640,3640,3640,3640,3640,3640,4109,4247,3640,3640,3640,3640,3640,3640,3640,3640,4037,3828,3640,3640,3640,3640,3640,3640,3640,3640,3851,3931,3640,3640,3640,3640,3640,3640,3640,3640,3836,3640,3640,3640,3640,3640,3640,3640,3640,3640,3816,3893,3640,3640,3640,3640,3640,3640,3640,3640,3640,4339,3955,3794,3959,3852,3845,3931,3780,3770,4196,4380,3775,3822,3918,4082,3753,4008,4077,3640,4250,4501,3991,3862,3952,3881,3966,3974,3839,3796,4455,4620,3783,3876,3987,4118,3776,3964,4045,3640,4511,3640,3640,3640,3640,3640,3640,3640,3640,3640,3863,3908,3640,3640,3640,3640,3640,3640,3640,3640,3640,3817,3640,3640,3640,3640,3640,3640,3640,3640,3918,3923,3640,3640,3640,3640,3640,3640,3640,3640,3854,4076,3640,3640,3640,3640,3640,3640,3640,3640,4129,4159,3640,3640,3640,3640,3640,3640,3640,3640,4107,3957,3640,3640,3640,3640,3640,3640,3649,4188,4239,4157,4082,3900,3640,3640,3640,3640,3640,3640,4033
8,3808,3640,3640,3640,3640,3640,3640,3695,3858,3932,3986,3870,3737,3640,3640,3640,3640,3640,3640,3877,3850,3640,3640,3640,3640,3640,3640,3640,3640,3995,4068,3640,3640,3640,3640,3640,3640,3640,3640,3920,3777,3640,3640,3640,3640,3640,3640,3640,3640,3803,3900,3640,3640,3640,3640,3640,3640,3640,3640,3750,3640,3640,3640,3640,3640,3640,3640,3640,3640,3877,3943,3640,3640,3640,3640,3640,3640,3640,3640,3640,4339,3809,3735,3787,3794,3793,3852,3835,3871,4192,4380,3878,3902,3904,3941,3692,3854,3872,3640,4248,4501,3852,3810,3866,3818,3852,3940,3878,3891,4471,4620,3873,3943,3924,3940,3701,3857,3933,3640,4533,3640,3640,3640,3640,3640,3640,3640,3640,3640,3881,3957,3640,3640,3640,3640,3640,3640,3640,3640,3640,3783,3640,3640,3640,3640,3640,3640,3640,3640,3809,3892,3640,3640,3640,3640,3640,3640,3640,3640,3759,3904,3640,3640,3640,3640,3640,3640,3640,3640,4040,4004,3640,3640,3640,3640,3640,3640,3640,3640,3922,3837,3640,3640,3640,3640,3640,3640,3649,3919,4011,3976,3904,3731,3640,3640,3640,3640,3640,3640,3871
9,3868,3640,3640,3640,3640,3640,3640,3695,3858,3932,3986,3864,3737,3640,3640,3640,3640,3640,3640,3959,3963,3640,3640,3640,3640,3640,3640,3640,3640,3846,3969,3640,3640,3640,3640,3640,3640,3640,3640,4015,3864,3640,3640,3640,3640,3640,3640,3640,3640,3782,3812,3640,3640,3640,3640,3640,3640,3640,3640,3860,3640,3640,3640,3640,3640,3640,3640,3640,3640,3770,3865,3640,3640,3640,3640,3640,3640,3640,3640,3640,4344,3981,3774,3785,3730,3738,3822,3728,3825,4198,4396,3815,3794,3811,3830,3705,3835,4023,3640,4274,4534,4009,3846,3869,3755,3784,3839,3797,3903,4462,4593,3846,3853,3828,3837,3695,3850,4080,3640,4551,3640,3640,3640,3640,3640,3640,3640,3640,3640,3792,3836,3640,3640,3640,3640,3640,3640,3640,3640,3640,3868,3640,3640,3640,3640,3640,3640,3640,3640,3794,3813,3640,3640,3640,3640,3640,3640,3640,3640,3847,4046,3640,3640,3640,3640,3640,3640,3640,3640,3884,3912,3640,3640,3640,3640,3640,3640,3640,3640,4042,3900,3640,3640,3640,3640,3640,3640,3649,3905,3990,3979,3899,3725,3640,3640,3640,3640,3640,3640,3940
