frmae,tile0,tile1,tile2,tile3,tile4,tile5,tile6,tile7,tile8,tile9,tile10,tile11,tile12,tile13,tile14,tile15,tile16,tile17,tile18,tile19,tile20,tile21,tile22,tile23,tile24,tile25,tile26,tile27,tile28,tile29,tile30,tile31,tile32,tile33,tile34,tile35,tile36,tile37,tile38,tile39,tile40,tile41,tile42,tile43,tile44,tile45,tile46,tile47,tile48,tile49,tile50,tile51,tile52,tile53,tile54,tile55,tile56,tile57,tile58,tile59,tile60,tile61,tile62,tile63,tile64,tile65,tile66,tile67,tile68,tile69,tile70,tile71,tile72,tile73,tile74,tile75,tile76,tile77,tile78,tile79,tile80,tile81,tile82,tile83,tile84,tile85,tile86,tile87,tile88,tile89,tile90,tile91,tile92,tile93,tile94,tile95,tile96,tile97,tile98,tile99,tile100,tile101,tile102,tile103,tile104,tile105,tile106,tile107,tile108,tile109,tile110,tile111,tile112,tile113,tile114,tile115,tile116,tile117,tile118,tile119,tile120,tile121,tile122,tile123,tile124,tile125,tile126,tile127,tile128,tile129,tile130,tile131,tile132,tile133,tile134,tile135,tile136,tile137,tile138,tile139,tile140,tile141,tile142,tile143,tile144,tile145,tile146,tile147,tile148,tile149,tile150,tile151,tile152,tile153,tile154,tile155,tile156,tile157,tile158,tile159,tile160,tile161,tile162,tile163,tile164,tile165,tile166,tile167,tile168,tile169,tile170,tile171,tile172,tile173,tile174,tile175,tile176,tile177,tile178,tile179,tile180,tile181,tile182,tile183,tile184,tile185,tile186,tile187,tile188,tile189,tile190,tile191,tile192,tile193,tile194,tile195,tile196,tile197,tile198,tile199
0,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
1,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
2,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
3,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
4,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
5,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595,3595
6,3839,3818,3778,3855,3904,3909,3903,3926,3826,3868,3974,3986,4022,3926,3906,3849,3851,3799,3836,3862,3837,3833,3836,3912,3832,3821,3887,3954,3875,3949,3920,3952,3923,3886,3868,3816,3890,3834,3776,3860,3823,3929,4069,3937,3817,3910,4004,3928,3828,3795,3912,3892,3892,3976,3874,3832,3857,3960,3938,3814,3836,3826,3789,3857,3899,4032,3862,3920,3964,3950,3931,3958,3985,3947,3906,3995,3869,3803,3781,3756,3740,3835,3789,3786,3900,3871,3876,3908,3976,3963,3988,3868,4119,3948,3909,3795,3850,3856,3891,3876,3765,3672,3705,3750,3791,3914,4030,3936,3931,3777,3692,3952,3979,3946,3846,3847,3809,3794,3804,3808,3795,3729,3814,3804,3822,3782,4142,4061,4148,3717,3715,3764,3929,3908,3826,3793,3703,3822,3805,3786,3794,3872,3821,3799,3777,3861,3840,4068,3996,3920,3954,3978,3887,3839,3804,3831,3712,3651,3700,3808,3856,3798,3823,3914,3827,3835,3863,3933,3954,4046,4183,4133,3968,3946,3974,3849,3877,3879,3911,3864,3979,3975,4050,3958,4240,4518,4122,4059,4070,3819,3920,3940,4095,4220,4613,4263,4069,4212,4199,4073
7,4116,3935,3921,3994,4147,4200,4133,4174,4261,4214,4312,4290,4364,4158,4119,3975,3937,4046,4030,4068,4170,4010,4027,4097,4207,4040,4231,4484,4155,4286,4238,4418,4453,4237,4088,3894,4182,4087,4070,4048,4078,4211,4591,4161,4108,4445,4462,4133,4127,4081,4202,4248,4128,4337,3954,4053,3934,4340,4170,4069,4005,3966,4021,4160,4389,4690,4082,4291,4262,4236,4162,4287,4400,4529,4295,4478,4162,4071,3941,4009,3981,4027,3936,3955,4137,4089,4216,4360,4340,4253,4396,4173,4854,4432,4275,3959,4101,4241,4092,4132,3977,3876,3842,3877,3993,4225,4400,4368,4268,3937,3898,4286,4429,4319,4069,4042,4017,3993,4009,3904,3948,3982,3999,3935,4021,3945,4814,4720,4768,3797,3876,4043,4298,4191,4020,3968,3917,3995,4016,3920,4044,4036,4074,4006,3921,4196,4453,5065,4474,4287,4471,4889,4318,4099,4036,3987,3868,3777,3877,3981,4182,4044,4044,4123,4024,4021,3968,4252,4131,4763,4997,5074,4565,4224,4382,4041,3933,4017,4069,4061,4314,4419,4481,4334,4884,6069,4805,4646,4475,4052,4239,4406,4643,5047,6124,4968,4535,4910,4833,4418
8,4467,4371,4335,4432,4546,4496,4374,4494,4687,4817,5032,4901,4837,4654,4618,4315,4207,4329,4417,4382,4460,4380,4346,4552,4496,4288,4887,5387,4836,4907,4833,5234,5492,4808,4514,4341,4651,4478,4333,4410,4457,4764,5450,4575,4398,5038,5197,4618,4354,4367,4440,4726,4518,4998,4204,4373,4229,4918,4677,4379,4509,4405,4435,4579,5033,5489,4585,4838,4889,4971,4981,5019,4999,5351,4735,5248,4721,4456,4324,4643,4297,4474,4314,4349,4430,4377,4743,5139,4936,4843,5009,4695,5717,5120,4717,4434,4621,4711,4707,4817,4236,4074,4055,4213,4347,4872,5073,5196,4795,4438,4244,5316,5152,5156,4553,4434,4509,4416,4514,4309,4164,4207,4461,4374,4436,4480,5896,5960,5865,3962,4096,4640,5147,5004,4519,4370,4256,4231,4231,4107,4494,4314,4455,4563,4490,5086,5606,6750,5570,5396,5775,6520,5354,4670,4558,4455,4075,3971,4115,4280,4558,4337,4269,4436,4173,4160,4390,4950,4626,5830,6193,6539,5351,4644,4908,4376,4294,4352,4532,4208,4611,4789,4797,4607,5374,6960,5204,4851,4630,4130,4381,4515,4973,5335,7055,5483,4790,5385,5283,4820
9,4589,4475,4424,4687,4874,4616,4556,4701,4803,5139,5090,5121,5022,4949,4888,4514,4406,4487,4398,4540,4635,4380,4373,4635,4417,4346,5196,5320,4826,5089,5041,5312,5625,4915,4545,4210,4468,4486,4281,4499,4433,4907,5451,4755,4546,5183,5344,4594,4448,4341,4645,4634,4569,5203,4290,4387,4271,5011,4739,4381,4536,4582,4647,4825,5163,5515,4635,5003,5123,5049,5047,5265,5380,5676,4814,5244,4771,4517,4594,5442,4303,4897,4651,4454,4495,4409,4637,4909,5163,4921,5459,4968,5851,5281,4888,4741,4907,5141,5202,5149,4345,4035,3986,4277,4402,4860,5405,5301,4846,4415,4060,5959,5614,5521,4548,4571,4688,4392,4742,4588,4133,4167,4329,4427,4746,4704,6137,6561,6300,4038,4240,5146,5781,5592,4932,4648,4133,4295,4242,4234,4533,4347,4314,4738,4982,5494,6372,7767,6160,6167,7751,7785,6520,5391,4904,4758,4042,4044,4108,4409,4572,4207,4305,4538,4275,4173,4718,5294,5055,6750,6745,7421,5853,4923,5312,4294,4426,4449,4567,4105,4380,4541,4660,4374,5092,6254,5070,4520,4416,4062,4162,4252,4586,5016,6532,5131,4480,4977,4794,4564
